"CT6SSi2";"CT6SSi1";"CT6SSi4b";"PT6SSi2";"PT6SSi1";"PT6SSi4b";"CMT6SSi2";"CMT6SSi1";"CMT6SSi4b";"PMT6Si2";"PMT6SSi1";"PMT6SSi4b";"CST6SSi2";"CST6SSi1";"CST6SSi4b";"PST6SSi2";"PST6SSi1";"PST6SSi4b";"clpV.tssH";"fha";"hcp1.tssD1";"hcp2.tssD2";"rhs.PAAR";"tssA";"tssB";"tssC";"tssF";"tssG";"tssJ";"tssK";"tssL";"tssM";"vgrG.tssI"
"CT6SSi2";1;-0.0592102389337521;0.0859009803154654;0.81502678968664;0.0631273030619596;0.0860727146226455;0.702035700633942;0.215718492802621;0.0857330807110932;0.646642449207659;0.390759719179456;0.0861324857570432;0.944094778309052;-0.0593625004177517;0.0858537460063964;0.81573003260977;0.0627068201005364;0.0861922996985711;-0.18317149913345;-0.198026923448112;-0.205194747640293;-0.207858339094214;-0.0759173320239246;-0.176244823876851;-0.245025365119373;-0.217054723164405;-0.203639618210362;-0.199984053995287;-0.224408585454821;-0.230102864038397;-0.228127807886928;-0.245122709120694;-0.152588818761516
"CT6SSi1";-0.0592102389337521;1;-0.00548621492119506;-0.155746110565366;0.732059135461209;-0.00628679876447828;-0.0251192284411582;0.149247302159974;-0.00562491018470762;-0.174252484594593;0.0362818492082996;-0.0062329598174656;-0.0395411635984646;0.999921130991056;-0.00551603841711311;-0.155371198328759;0.73221707709478;-0.00617908988701657;0.68140793857276;0.668013052858064;0.244577248477186;0.65793969774067;0.0404587871224832;0.295866323891193;0.5939432215373;0.645780995194395;0.669953591920375;0.676288637509015;0.634238063937187;0.625147092956998;0.627718379195977;0.588461347194595;0.440276384952608
"CT6SSi4b";0.0859009803154654;-0.00548621492119506;1;0.0610383332048272;0.00834204200879768;0.992462832672301;-0.0366726159819667;-0.00721015442594194;0.999390257713709;-0.0555277449061366;0.0121614278449086;0.992761108871323;0.0942136830665468;-0.00547754551747123;0.999390081097361;0.0611490559151369;0.00836605089911236;0.993059649567469;0.0415068017030839;0.00440647932473766;0.0693507732935166;0.00749604121032222;0.0327509868678434;0.0476026492939179;0.0105006480376274;0.00400666046576867;0.00334581648839334;-0.00293534315641092;-0.00064801997375318;0.00117045906497528;0.00163264127106964;0.0237201748781798;-0.0299643331652514
"PT6SSi2";0.81502678968664;-0.155746110565366;0.0610383332048272;1;-0.0777266441804761;0.0610307070125747;0.57208295311972;0.181993513634368;0.0608871509448992;0.834076834607909;0.309405568865518;0.0610909895250986;0.769462536325147;-0.155871830604292;0.0610088459737513;0.999137897472183;-0.0780660756200023;0.061151312881208;-0.27787538012955;-0.289534028091031;-0.296183065483029;-0.302168761395556;-0.0834866717335794;-0.187463127225206;-0.347344986668464;-0.313312941312961;-0.295671810417313;-0.291511319831382;-0.321105538427838;-0.327993039682512;-0.325499892536506;-0.348982766502894;-0.218755200407109
"PT6SSi1";0.0631273030619596;0.732059135461209;0.00834204200879768;-0.0777266441804761;1;0.00801273451971965;0.00778665249730353;0.109285830400194;0.00820495968759992;-0.176947421255195;0.308474946859836;0.00809114040078134;0.0273669470184668;0.732001398682708;0.00836313161156173;-0.0778678938852429;0.99978429670857;0.00816959295476896;0.663232057849451;0.749906177344323;0.21178743325947;0.733106413171852;0.063896809433409;0.299033258871162;0.645261663837052;0.710916978728306;0.740326869474837;0.75064367185026;0.699156385362712;0.688756643298425;0.692478995955679;0.638189951640938;0.3591743869425
"PT6SSi4b";0.0860727146226455;-0.00628679876447828;0.992462832672301;0.0610307070125747;0.00801273451971965;1;-0.0367998240593757;-0.00736541089576507;0.991857569673236;-0.0558394445388857;0.0123580365721213;0.999699548867945;0.0944315583048108;-0.0062780749798888;0.991857510830487;0.0611420936602922;0.00803693569362539;0.999399012037766;0.0411399963182773;0.00401181322576722;0.0695019786839725;0.00704188798365311;0.033201725119439;0.047725622697188;0.0101587712857921;0.00354870418649417;0.00280599371433052;-0.0032797269892812;-0.00109441312970892;0.00069113326191302;0.00115681875026117;0.0232688775014086;-0.0303898096322407
"CMT6SSi2";0.702035700633942;-0.0251192284411582;-0.0366726159819667;0.57208295311972;0.00778665249730353;-0.0367998240593757;1;0.220125502865082;-0.0366726159819667;0.685978904679863;0.228357894657549;-0.0367862531950476;0.741411630403587;-0.0252373879924517;-0.0366453621971415;0.572577552953549;0.00738373546009206;-0.0367726777035613;-0.142848349645769;-0.145733035607036;-0.166745429369542;-0.152685361091219;-0.0694028118799747;-0.108946073534014;-0.181642926855391;-0.159398317109161;-0.149730915549112;-0.14717075783406;-0.16449283895563;-0.168232786732134;-0.166571819584855;-0.184542758219493;-0.0878592063939064
"CMT6SSi1";0.215718492802621;0.149247302159974;-0.00721015442594194;0.181993513634368;0.109285830400194;-0.00736541089576507;0.220125502865082;1;-0.00721015442594194;0.161201310176049;0.354488965421516;-0.00735923641355562;0.183710524645048;0.14887657498551;-0.00719765252842636;0.181740477061244;0.109309469565404;-0.00735305897853706;-0.113250155817475;-0.11526398109268;-0.119389754985898;-0.117715852926246;-0.0313228470572334;-0.105035813607992;-0.127746938549537;-0.119934499998191;-0.116491995173447;-0.115517850313388;-0.121562609354546;-0.122983743869828;-0.122481514095422;-0.128551463575878;-0.0793044647063477
"CMT6SSi4b";0.0857330807110932;-0.00562491018470762;0.999390257713709;0.0608871509448992;0.00820495968759992;0.991857569673236;-0.0366726159819667;-0.00721015442594194;1;-0.0555277449061366;0.0121614278449086;0.992155668625608;0.0940398486462892;-0.005616242874997;0.998779976080676;0.0609978168832749;0.00822897205167745;0.992454031916529;0.0413701932360419;0.00427005048873931;0.0692145765642513;0.00735977793954587;0.0324678810710677;0.0474648219372266;0.010364425126465;0.00387048149098105;0.0032094753001709;-0.00307175253966888;-0.000784162883168317;0.00103432742136359;0.00149650775428864;0.0235839122451072;-0.0301137106257989
"PMT6Si2";0.646642449207659;-0.174252484594593;-0.0555277449061366;0.834076834607909;-0.176947421255195;-0.0558394445388857;0.685978904679863;0.161201310176049;-0.0555277449061366;1;0.164712504003339;-0.0558204233823414;0.691280718573574;-0.174327654656703;-0.0554894861705301;0.834180115636278;-0.177315007592978;-0.0558013961253169;-0.293700932543283;-0.297641217327545;-0.322774806600086;-0.308075430328561;-0.104787617463862;-0.17676514740821;-0.350227391928727;-0.317637419986004;-0.303348745554486;-0.299561838436015;-0.324711741171431;-0.330428522681439;-0.328108577901841;-0.354156095051232;-0.200081708054131
