ST	n
ST1330	1
ST13308	3
ST13309	1
ST13311	1
ST1332	1
ST1333	2
ST1334	2
ST1336	2
ST1339	1
ST1340	4
ST13411	1
ST13417	1
ST13418	1
ST13421	1
ST13422	1
ST13425	1
ST13427	1
ST13431	1
ST13432	1
ST13433	1
ST13435	1
ST13445	1
ST13447	1
ST13455	1
ST135	50
ST136	9
ST13613	1
ST13632	1
ST13700	1
ST13703	1
ST13704	1
ST13705	2
ST13706	1
ST13707	1
ST13708	1
ST13709	1
ST13711	1
ST13723	1
ST13724	1
ST13725	1
ST13726	1
ST13727	1
ST13728	1
ST13729	1
ST13731	1
ST13732	1
ST13734	1
ST13736	1
ST13737	1
ST13738	1
ST13739	1
ST13745	1
ST13746	1
ST13747	1
ST13749	1
ST13750	2
ST13751	1
ST13752	1
ST13763	1
ST13764	1
ST13765	1
ST13766	1
ST13767	1
ST13768	2
ST13769	1
ST13770	1
ST13771	1
ST13772	1
ST13773	1
ST13774	1
ST13775	1
ST13776	1
ST13777	1
ST13778	1
ST13779	1
ST13780	1
ST13797	1
ST13798	1
ST13799	1
ST13801	1
ST13802	1
ST13804	1
ST13805	1
ST1383	1
ST1385	15
ST1386	2
ST13873	1
ST13891	1
ST13971	1
ST13972	1
ST13973	1
ST13976	1
ST13977	1
ST13978	1
ST13979	1
ST1398	1
ST13981	1
ST13982	1
ST13984	1
ST1399	1
ST13992	1
ST13993	1
ST13994	2
ST13995	1
ST13996	1
ST14	66
ST140	11
ST1400	2
ST14001	1
ST14002	1
ST14003	1
ST14004	1
ST14005	1
ST14006	1
ST14007	1
ST14008	1
ST14009	1
ST14010	1
ST14011	1
ST14012	2
ST14014	1
ST14015	1
ST14016	4
ST14017	1
ST14018	1
ST14019	1
ST14020	1
ST14023	1
ST14024	1
ST14025	1
ST14026	1
ST14027	1
ST14028	1
ST14029	1
ST1403	2
ST14030	1
ST14031	1
ST14032	1
ST14033	1
ST14034	1
ST14035	1
ST14036	1
ST14037	1
ST14039	1
ST14041	1
ST14042	1
ST14043	1
ST14044	1
