ST	n
ST10730	1
ST10731	1
ST10732	1
ST10733	1
ST10734	1
ST10735	1
ST10736	1
ST10738	2
ST10739	1
ST10740	4
ST10742	1
ST10743	1
ST10744	1
ST10745	1
ST10746	1
ST10747	1
ST10748	1
ST10749	1
ST10750	1
ST10751	1
ST10752	6
ST10753	1
ST10754	1
ST10755	1
ST10756	1
ST10757	1
ST10762	2
ST10763	1
ST10764	1
ST10765	3
ST10767	2
ST10768	1
ST10770	2
ST10771	1
ST10774	3
ST10775	1
ST10776	1
ST10777	4
ST10778	1
ST10779	1
ST10781	1
ST10782	1
ST10784	2
ST10785	1
ST10786	1
ST10787	2
ST10788	2
ST1079	142
ST10793	1
ST10795	2
ST10797	1
ST108	32
ST1080	20
ST10800	1
ST10801	2
ST10802	1
ST10803	1
ST10804	1
ST10805	1
ST10807	1
ST10808	1
ST10809	3
ST1081	109
ST10811	2
ST10812	1
ST10813	2
ST10814	1
ST10817	2
ST10818	2
ST10819	1
ST10824	1
ST10825	1
ST10829	1
ST1083	9
ST10835	1
ST10836	8
ST10837	1
ST10838	1
ST1084	13
ST10840	2
ST10841	2
ST10842	1
ST10843	2
ST10844	1
ST10845	1
ST10846	1
ST10847	1
ST10848	3
ST10849	2
ST10850	2
ST10852	1
ST10853	1
ST10854	1
ST10855	1
ST10856	1
ST1086	21
ST10865	6
ST1087	3
ST10884	3
ST10885	1
ST10886	2
ST10888	2
ST10889	2
ST10890	2
ST10891	1
ST10892	2
ST10893	1
ST10894	5
ST10895	1
ST10897	1
ST109	157
ST1090	1
ST10907	1
ST10909	4
ST1091	25
ST1092	22
ST10923	2
ST10924	4
ST10931	1
ST10934	1
ST10936	1
ST10937	1
ST10939	3
ST10941	1
ST10943	1
ST10944	1
ST10945	1
ST10946	1
ST10947	1
ST10948	1
ST10949	1
ST10950	1
ST10951	2
ST10952	1
ST10953	2
ST10954	1
ST10955	6
ST10956	1
ST10957	1
ST10958	1
ST10959	1
ST10960	1
ST10961	1
ST10962	1
ST10964	1
ST10965	2
ST10966	1
ST10967	1
ST10968	1
ST10969	1
ST10970	1
ST10971	1
ST10972	1
ST10973	1
ST10974	1
ST10975	1
ST10976	2
ST10977	1
ST10978	1
ST10979	1
ST10980	2
ST10981	1
ST10982	3
ST10983	1
ST10987	1
ST10988	7
ST10992	1
ST10993	1
ST10994	2
ST10995	1
ST10996	1
ST10997	2
ST10998	1
ST11	14126
ST110	4
ST11001	1
ST11003	1
ST11004	1
ST11005	1
ST11007	1
ST11008	3
ST11009	1
ST1101	24
ST11012	1
ST11013	2
ST11014	1
ST11015	1
ST11016	4
ST11019	1
ST1102	1
ST11021	15
ST11022	3
ST11023	2
ST11024	4
ST11026	1
ST11027	2
ST11028	27
ST11029	1
ST11030	1
ST11031	1
ST11032	1
ST11033	2
ST11034	1
ST11038	3
ST11039	1
ST1104	2
ST11040	1
ST11041	1
ST11043	2
ST11044	1
ST11045	1
ST11046	2
ST11047	1
ST11048	1
ST11049	1
ST11050	2
ST11052	1
ST11053	2
ST11054	1
ST11055	1
ST11058	1
ST1106	2
ST11060	2
ST11061	3
ST11062	1
ST11063	3
ST11064	1
ST11075	1
ST11076	4
ST11080	1
ST11081	3
ST1109	1
ST11091	1
ST11093	1
ST11094	1
ST11095	1
ST11096	1
ST11097	1
ST11098	1
ST11099	1
ST111	53
ST11100	1
ST11101	3
ST11102	3
ST11103	1
ST11106	1
ST11108	1
ST11110	1
ST11112	1
ST11113	1
ST11114	1
ST11115	1
ST11116	1
ST11117	1
ST11118	6
ST11119	1
ST1112	55
ST11120	2
ST11121	1
ST11122	1
ST11123	2
ST11124	2
ST11125	4
ST11126	1
ST11127	1
ST11129	1
ST1113	4
ST11130	1
ST11131	1
ST11136	1
ST11137	1
ST11138	2
ST11139	1
ST1114	72
ST11141	1
ST11142	2
ST11144	3
ST11145	1
ST1115	8
ST11151	1
ST11152	2
ST11153	1
ST11156	1
ST11157	1
ST11158	6
ST11159	1
ST11160	1
ST11161	2
ST11162	1
ST11163	1
ST11164	1
ST11165	3
ST11166	1
ST11167	1
ST11168	1
ST11169	1
ST1117	5
ST11170	1
ST11171	3
ST11179	1
ST11184	4
ST11185	1
ST11186	1
ST11187	1
ST1119	3
ST11190	1
ST11196	1
ST11197	2
ST11198	1
ST112	1
ST11204	1
ST11209	2
ST1121	31
ST11214	1
ST11215	2
ST11216	2
ST11219	2
ST1122	57
ST11220	1
ST11221	3
ST11222	2
ST11223	1
ST11224	1
ST11225	1
ST1123	28
ST11230	2
ST11231	6
ST11232	1
ST11237	9
ST11238	1
ST11239	1
ST11240	3
ST11241	2
ST11242	1
ST11243	2
ST11244	1
ST11245	2
ST11247	1
ST11248	1
ST11249	1
ST1125	177
ST11250	1
ST11251	1
ST11252	1
ST11254	1
ST11258	1
ST1126	10
ST11260	1
ST11263	1
ST11264	1
ST11265	1
ST11267	2
ST11268	1
ST11269	1
ST11270	1
ST11271	1
ST11272	1
ST11273	1
ST11274	1
ST11275	1
ST11276	5
ST1128	7
ST11280	4
ST11285	3
ST113	2
ST11303	2
ST11305	1
ST1131	7
ST11316	1
ST11317	1
ST11321	1
ST11322	2
ST11323	1
ST11324	1
ST11325	1
ST11326	1
ST11327	1
ST11328	1
ST11329	2
ST11330	1
ST11331	1
ST11332	1
ST11333	1
ST11334	1
ST11335	1
ST11336	1
ST11339	2
ST11341	2
ST11342	3
ST11343	1
ST11344	1
ST11346	1
ST11347	7
ST11348	2
ST11351	3
ST11352	1
ST11353	1
ST11354	1
ST11355	1
ST11359	1
ST1136	48
ST11360	2
ST11369	1
ST1137	27
ST11371	1
ST11372	1
ST11373	2
ST11374	1
ST11375	1
ST11376	2
ST11377	1
ST11378	1
ST11379	2
ST11381	1
ST11382	1
ST11386	1
ST1139	89
ST11391	4
ST11392	1
ST11393	1
ST11394	1
ST11396	1
ST11397	1
ST11398	1
ST11399	1
ST1140	70
ST11400	1
ST11401	1
ST11402	2
ST11404	3
ST11405	1
ST11406	1
ST1141	37
ST11410	1
ST11411	1
ST11413	1
ST11414	1
ST11415	4
ST11416	8
ST11417	1
ST11418	2
ST11419	2
ST11420	1
ST11421	2
ST11422	1
ST11423	1
ST11424	1
ST11425	1
ST11426	1
ST11427	1
ST11428	1
ST11429	1
ST11430	1
ST11431	1
ST11433	1
ST11436	3
ST11437	2
ST11438	1
ST11439	7
ST1144	4
ST11440	1
ST11441	11
ST11442	1
ST11443	4
ST11444	1
ST11445	2
ST11447	1
ST11448	3
ST11449	3
ST1145	8
ST11450	1
ST11451	1
ST11452	1
ST11453	5
ST11454	1
ST11455	5
ST11456	1
ST11459	1
ST1146	51
ST11460	1
ST11461	1
ST11462	2
ST11463	3
ST11464	2
ST11465	1
ST11468	1
ST1147	58
ST11470	2
ST11474	1
ST11476	2
ST11479	1
ST1148	54
ST11480	1
ST11484	1
ST11485	1
ST11488	2
ST11489	1
ST11490	1
ST11491	4
ST11492	1
ST11493	2
ST11495	1
ST11497	1
ST11498	1
ST11499	1
ST115	123
ST1150	1
ST11500	1
ST11501	1
ST11503	2
ST11504	1
ST11505	1
ST11507	1
ST11512	1
ST11514	1
ST11517	1
ST11518	1
ST11519	1
ST1152	10
ST11520	1
ST11521	2
ST11522	2
ST11523	1
ST11524	1
ST11525	1
ST11526	1
ST11527	1
ST11528	1
ST11529	1
ST1153	1
ST11530	2
ST11531	1
ST11532	1
ST11533	1
ST11534	1
ST11535	1
ST11536	1
ST11537	2
ST11538	1
ST11539	1
ST1154	8
ST11540	1
ST11541	1
ST11542	2
ST11543	1
ST11544	2
ST11545	1
