PG	CM_bin	PM_bin	CT6SSi2_bin	CT6SSi1_bin	CT6SSi4b_bin	PT6SSi2_bin	PT6SSi1_bin	PT6SSi4b_bin	CMT6SSi2_bin	CMT6SSi1_bin	CMT6SSi4b_bin	PMT6SSi2_bin	PMT6SSi1_bin	PMT6SSi4b_bin	CST6SSi2_bin	CST6SSi1_bin	CST6SSi4b_bin	PST6SSi2_bin	PST6SSi1_bin	PST6SSi4b_bin
A	0.0229552039224426	0.0304212168486739	0.0353985587994948	0.217331550404873	0.0237723794666072	0.0483990788202957	0.2599732560731	0.0242181115816061	0.00568308446623579	7.42886858331476e-05	0.0237723794666072	0.0132233860783003	0.00326870217665849	0.0241809672386895	0.0353985587994948	0.217331550404873	0.0236980907807741	0.0483990788202957	0.2599732560731	0.024143822895773
B1	0.151201977083801	0.203799395891061	0.193414713297886	0.53016800219676	0.01834793679323	0.225916772760179	0.694750243390998	0.0185476422277141	0.112334306897326	2.4963179310517e-05	0.0183229736139195	0.139918620035448	0.000399410868968272	0.0185476422277141	0.193414713297886	0.53016800219676	0.01834793679323	0.225916772760179	0.694750243390998	0.0185476422277141
B2	0.111824996175616	0.366681964203763	0.60325837540156	0.117026158788435	7.64876854826373e-05	0.907335169037785	0.380564479118862	0.000114731528223956	0.312987608994952	0.0716689612972311	7.64876854826373e-05	0.756769160165213	0.376013461832645	0.000114731528223956	0.51132017745143	0.116834939574728	7.64876854826373e-05	0.905575952271684	0.380029065320483	0.000114731528223956
C	0.0289888153389637	0.0335539831088792	0.0310431408354257	0.385528418169368	0	0.0372061173248117	0.406299931522483	0	0.000913033553983109	0	0	0.000228258388495777	0	0	0.0310431408354257	0.385528418169368	0	0.0372061173248117	0.406299931522483	0
cladeI	0.0184049079754601	0.0204498977505112	0.0306748466257669	0.229038854805726	0	0.0306748466257669	0.441717791411043	0	0	0	0	0	0.0388548057259714	0	0.0306748466257669	0.229038854805726	0	0.0306748466257669	0.441717791411043	0
D	0.0208798072633176	0.0252520745962345	0.0222182564468636	0.649058624074239	0.0209690372088873	0.0248059248683858	0.816543231908629	0.0211474971000268	0.00249843847595253	0.00562148657089319	0.021058267154457	0.00330150798608013	0.327116980458642	0.0211474971000268	0.0222182564468636	0.649058624074239	0.0209690372088873	0.0248059248683858	0.816543231908629	0.0211474971000268
E	0.0043377503119615	0.00772476082952047	0.00653633608651732	0.747519163348981	0.00285221938320756	0.0079624457781211	0.955909442034583	0.00297106185750787	0.000297106185750787	0.00160437340305425	0.00285221938320756	0.000178263711450472	0.0307207796066314	0.00297106185750787	0.00653633608651732	0.747519163348981	0.00285221938320756	0.0079624457781211	0.955909442034583	0.00297106185750787
F	0.000329924117452986	0.000989772352358957	0.000659848234905972	0.391619927416694	0.000329924117452986	0.00263939293962389	0.427251732101617	0.000329924117452986	0.000329924117452986	0.000989772352358957	0.000329924117452986	0.00164962058726493	0.00296931705707687	0.000329924117452986	0.000659848234905972	0.391619927416694	0.000329924117452986	0.00263939293962389	0.427251732101617	0.000329924117452986
G	0.0766509433962264	0.0841194968553459	0.904088050314465	0.0864779874213836	0	0.985062893081761	0.0911949685534591	0	0.881682389937107	0	0	0.984669811320755	0.00314465408805031	0	0.903694968553459	0.0864779874213836	0	0.985062893081761	0.0911949685534591	0
